我是大三阳，什么时候可以变成小三阳？	这个和机体的免疫系统与病毒的相互作用有关，是没有办法的预测的
我曾经打过疫苗，什么时候需要补打?	如果您成功产生了抗体，一般来说是不用再补打的。如果您是高危人群，即经常接触血液者、医务工作者等需要检查乙肝表面抗体，表面抗体低于10 mIU/L时，需要补打乙肝疫苗
我如何知道自己有没有乙肝?	检查乙肝五项，第一项为阳性即为感染
我什么时候应该吃抗病毒药?	临床上对于是否启动抗病毒药治疗是非常复杂的。建议您到三甲医院做全面检查后，由临床大夫为您诊断。
什么样的病人适合干扰素治疗?	在有抗病毒指征的患者中，相对年轻的患者( 包括青少年患者) 、希望近年内生育的患者、期望短期完成治疗的患者和初次接受抗病毒治疗的患者，可优先考虑PegIFNα 治疗
我的五项只有第五项是阳性，怎么回事?	你的乙肝表面抗原阴性，就说明你没有乙肝，是健康人，不需要再查任何与乙肝相关的检查项目了。
我的五项第二项是阳性，我是不是得乙肝了?	第二项是乙肝表面抗体。您的第二项阳性说明您打过疫苗并成功产生抗体，以后不会再得乙肝了。
乙肝妈妈在用抗病毒药可以母乳吗?	可以的
乙肝妈妈可以母乳吗?	可以的
乙肝病人可以吸烟吗?	无论是携带者、肝炎患者还是正常人，都应该尽量避免吸烟，烟草已经被WHO定位一级致癌物。
我现在肝功能不正常可以吃护肝片之类的保健品吗?	您的肝功能不正常，建议您立即就医，如果达到抗病毒治疗的要求，要启动抗病毒治疗。保健品不建议服用，因为所有的药物都经肝脏代谢，可能引起药物性肝损伤。所以不建议随意服用保健品。
我感觉我肝疼怎么办?	您这么叙述其实也并一定就是肝区的不舒适。建议您就医，医生查体后为您制定治疗方案
我吃恩替有时候腹泻，怎么回事?	恩替的常见副作用就是胃肠道反应。当然您要排除其他腹泻的原因，避免其他病情被忽视
我病毒5次方了，需要抗病毒吗?	是否需要抗病毒是一个很复杂的问题，需要您的医生查看您的检查结果后给出意见，一个病毒量是无法判断是否需要抗病毒的
体检时我的总胆红素总是高，是怎么回事?	转氨酶正常，总胆红素高是正常生理现象，是由于空腹抽血引起的，不用担心
我昨天漏服了一次药，怎么办?	没关系，第二天正常服药即可。药物的良好依从性对于抗病毒的治疗效果是十分重要的。所以尽量不要漏服。
漏服抗病毒药用补服吗?	不用，第二天正常服药即可。药物的良好依从性对于抗病毒的治疗效果是十分重要的。所以尽量不要漏服。
我在喝蒲公英，管用吗?	没有科学证据证明蒲公英茶对乙肝的治疗有好处。建议定期体检，谨遵医嘱。
替诺用每天同一个时间吃吗?	不用严格按照每天同一时间服用，大概一个固定时间区段服用即可。
什么时候会有治愈药?	目前乙肝是全球性的卫生问题，全世界的科学家也都致力于寻找乙肝治愈的方法。但是这个时间并不能预测。可能5年可能10年。虽然目前我们乙肝患者没有办法彻底将病毒从体内清除，但是我们可以做的是定期检查，发现问题及时治疗，避免问题在不知不觉中严重，尽可能延长寿命，提高生活质量
熬夜是不是伤肝?	机体该休息的时候就应该让它休息。熬夜不仅伤肝，对我们的内分泌，心血管等都有害。所以早睡早起，保持一个良好的阻力是非常重要的～
尿黄是不是肝的问题?	正常小便的颜色就是黄色的。小便的颜色还会受食物、摄入维生素或者饮水量的影响。肝的问题一般不会反应在尿的颜色上。如过想知道自己肝是否有问题，去三甲医院做一个肝功的检查就可以了～
尿黄是不是吃药的问题？	正常小便的颜色就是黄色的。小便的颜色还会受食物、摄入维生素或者饮水量的影响。吃药一般不会影响尿的颜色。如过想知道自己肝是否有问题，去三甲医院做一个肝功的检查就可以了～
我有些皮疹，是不是因为乙肝？	乙肝不会造成皮疹等。建议您去医院皮肤科检查。
我今天生气了，现在感觉肚子不舒服，是不是因为生气伤肝?	其实呢，坏的情绪对身体各个部位都不好。我们日常生活中要尽量避免生气，尤其是我们乙肝病人更应该保持一个好的心态。
我吃药什么时候治愈?	目前乙肝病毒是不能从人体中彻底清除的。一般人们所说的治愈是临床治愈，即表面抗原消失，HBV DNA 低于监测下限（阴性）。达到临床治愈的时间也是不能预测的，一般来说要几年十几年，甚至有些人终生不能达到临床治愈。不过没有达到也没有太大关系，定期检查各项指标，早发现问题早治疗，乙肝病人也可以过和常人无异的生活的。
我在吃恩替，可以换厂家吗?	只要是国家药监局批准的，都没有问题的，可以换厂家。
我在吃阿德福韦酯，可以换恩替或者替诺吗?	目前乙肝治疗的一线药物是恩替和替诺，可以换成这两种药的。
听说吃替诺有副作用，我需要注意什么?	替诺对肾脏有一定的毒副作用，因此在服用替诺期间建议应每 3 ～ 6 个月监测肌酐和血磷，以监测肾脏功能是否受损
我在吃抗病毒药，什么时候可以停药?	口服抗病毒药推荐治疗到 HBsAg 消失且 HBV DNA 检测到，再巩固治疗 1 年半（ 经过至少 3 次复查，每次间隔 6 个月）仍保持不变时，可考虑停药。
我注射干扰素，浑身无力，发热，怎么办?	流感样症候群是干扰素常见的不良反应之一，可在睡前注射 IFNα，或者同时注射解热镇痛药物
新药taf是治愈药吗?	taf其实是替诺的前体药物，在抑制病毒的机制上并没有什么改变，可以形容为“换汤不换药”。但是taf具有服用少量即可达到替诺药效且肾损伤几乎为0。但是它也有个缺点，就是贵：每个月大概需要1000+元。
taf相对于现在的一线药物有什么优点呢?	taf其实是替诺的前体药物，在抑制病毒的机制上并没有什么改变，可以形容为“换汤不换药”。但是taf具有服用少量即可达到替诺药效且肾损伤几乎为0。但是它也有个缺点，就是贵：每个月大概需要1000+元。
我公务员入职体检会不会查乙肝两对半呢?	我国相关法律规定，入职入学体检不允许检查乙肝两对半；但是会检查肝功，即如果你在体检时恰好有肝炎发作，那么你的体检将是不合格的，会影响入职。
我是携带者，可以办健康证吗?	可以的，健康证不检查乙肝五项
我的乙肝五项表面抗原显示>250，到底是多少呢?	如果检测结果是大于250，说明您做的检测是半定量检测。如果您想知道确切的数值，那么建议您做一个定量检测。
我肝弹上次6.8，这次7.0，是不是要硬化了?	事实上您这两个值都在正常数值内。而且0.2的变化在医生看来是没有区别的。建议您不要太担心。
我的x项检测在临界值了，有没有事?	临界值也在正常变化范围内。到达临界值可能提示您需要关注这个指标，但是目前无须过分担心。
我如何知道自己是否耐药了呢?	您可以和医生说，让医生帮您开一个耐药检测。事实上如果您服用的是恩替或者替诺，耐药几率是非常小的。
我的HBV DNA定量是做高敏检测还是做普通的就可以?	最好做HBV DNA的高敏检测，这样得到的数值更加准确。
脂肪肝怎么办?	脂肪肝没有太好的办法，只能通过清淡饮食和减肥来缓解
我的父亲是肝癌去世的，我是携带者，需要注意什么?	如果您超过30岁，伴有肝硬化或 HCC 家族史，建议行肝组织活检或无创性检查，若明显肝脏炎症或纤维化则给予抗病毒治疗
肝脏受损的表现是什么?	肝脏受损的表现直接就是转氨酶升高
我非常害怕我的乙肝发展成肝硬化，我可以开始服药吗?	抗病毒治疗的启动需要病人具有一定抗病毒指征，需要病毒量达到一定的水平，并伴有肝功能异常等。不适当的时机用药反而会适得其反。
干扰素治疗后，转氨酶反而上升了是怎么回事？	
右边肋骨下隐隐作痛，怎么回事？	您口述您的右边肋骨下隐隐作痛，但是事实上病人对身体的判断往往有误。建议您到正规医院查体，来判断到底是什么部位引起的疼痛。
我肝功100多，开始口服抗病毒药，还用吃其他护肝药吗？	不用的，只需要单一抗病毒药即可
我开始抗病毒治疗了，现在肝功基本正常，可以只吃抗病毒药，而不服用其他的保肝护肝药吗？	可以的
我能不能开一些中药进行调理？	不建议吃中药治疗乙肝的。中药的成分不明确，多数都会带来肝脏的负担，所以建议不要吃中药。
检查肝弹需要空腹吗？	只做肝弹检查是不需要空腹的，肝功和b超需要空腹检查。
抗病毒的同时可以吃维骨力氨糖吗？	只吃抗病毒药即可，没有必要吃这个。
替诺带药母乳安全吗？	安全，可以母乳喂养。
抗病毒药漏吃一天有影响吗，是否需要补服？	请按时遵医嘱服用，尽量避免漏服，第二天正常服药即可，不需要补服。
乙肝患者睡眠不好可以吃点中药吗？	中药具有潜在的伤肝风险，不建议服用，您可以尝试晚上睡前洗热水澡或者泡脚等方法改善睡眠。
抗病毒为啥有的吃药病毒量降的很快，有的降的很慢？	每个人的机体状态和对药物的反应不一样，遵医嘱服用药物定期检查，查看药效，有助于医生及时优化治疗方案。
肝功能前蛋白偏低是什么意思？	肝功检查单中着重关注ALT和AST，前蛋白一项不正常一般不具备临床参考意义。
肝纤维化可逆吧，要多久？	战友中确实存在着肝纤维化逆转的情况，但是首先需要明确的是不一定会逆转，其次逆转需要的时间也是因人而异，没法预测。
大三阳一定传染性强吗？	大三阳的病毒复制情况相对于其他要更加活跃，因而传染性更强。
经常失眠会导致肝功能异常吗？	存在这种情况，剧烈运动和劳累都可以导致肝功出现异常，经常性的失眠必然会应该肝脏的功能，但是相对于异常的幅度不会太大。
乙肝病人可以吃巧克力吗？	可以吃，适量即可。
做肝弹对人体有危害吗？	肝弹是无创检查对身体没有危害。
指甲表面有凹凸不平的纹路跟乙肝有关系吗？	应该是没有关系的，指甲问题和微量元素有关。
门静脉13算不算宽？	从指标上看存在着一定的门静脉高压情况，建议进一步检查。
女性月经不正常与乙肝有关系吗？	应该是没有关系的，例假跟激素相关，建议您检查内分泌。
男性患者最近备孕可以抗病毒吗？	可以的，没有影响。干扰素治疗的话需要停药6个月
脂肪肝酒精肝做啥检查可以检查出来？	B超就可以。
经常失眠和乙肝有关系吗？	很多因素会导致失眠，一般来说乙肝与睡眠关系不大。
拉肚子和乙肝有关系吗？	一般认为关系不大，着凉或者吃坏了东西会导致腹泻。
DNA转阴是否说明不具备传染性了？	不能这样认为，只能说病人体内的病毒复制被抑制了，但只要是表面抗原阳性就存在传染的可能。
乙肝疫苗多久打一次？	打一次产生抗体后就不需要再接种了。
刷牙出血跟乙肝有关系吗？	牙龈出血一般由于牙周炎导致，建议您每年洗牙1-2次。
肝硬化可以逆转吗？	肝硬化是肝纤维化的晚期阶段，临床上有战友出现了逆转的情况不过比较少见。
首次抗病毒是吃恩替还是替诺？	这两种都是一线药物有良好的疗效，假如您有备孕计划可以选择吃替诺。
肝功中胆碱酯酶的高低代表啥？	肝功我们主要关注ALT和AST，一项指标异常一般不具备临床参考价值。
乙肝吃点林芝孢子粉作为平常保养好不好？	没有服用的必要
乙肝喝蒲公英泡水有用吗？	心理作用大于实际治疗作用，没有服用的必要。
乙肝疫苗进口比国产好？	只要打完产生抗体就是好疫苗！
乙肝治愈的概率高吗？	乙肝临床治愈率很低，成人感染的治愈率略高于母婴传染。
病毒变异怎么检测？	一般来说现在的一线药物不会导致病毒变异，假如服用的是拉米夫定等早期药物可以做变异测序，及时调整治疗方案。
乙肝纤维化，可以喝蜂蜜水吗？	可以喝对身体没有损伤，但不具有什么治疗效果。
入职体检乙肝可以通过吗？	现在入职体检一般不包含乙肝，只要肝功能正常就可以。
乙肝患者，入职体检肝功能不正常怎么办？	临床上有降酶药，但是治标不治本，建议通过体检后去医院做检查，如有指标需要及时抗病毒治疗。
肩颈背痛是否由乙肝引起？	引起肩颈背痛的原因很多，一般过度劳累即可导致腰酸背痛，多休息即可，与乙肝关系不大。
晚上睡眠质量不好，和抗病毒药物是否有关系呢？	一线药物副作用低，可以先尝试睡前热水澡等方式改善睡眠，观察一段时间没有改善的话去医院就诊，及时调整用药方案。
抗病毒期间可以吃酸菜吗？	可以吃，但需适量。
高敏检查含乙肝两对半定量吗？	不包含的，高敏检查是HBV-DNA高敏检查，和乙肝五项是两个检查项目。
三个月一次核磁共振是否对肝脏有伤害？	核磁共振对人体无害，有辐射的是CT检查和X光检查。
胆结石需要治疗吗？	没有症状则不需要治疗。
四肢乏力嗜睡是因为病情加重了吗？	首先排除最近过于劳累和睡眠不好，观察一段时间没有缓解可以去医院做一下肝功检查。
乙肝会导致眼睛疲劳吗？	一般不会的，视疲劳与过度用眼相关。
135阳性转13阳性什么意思？	主要关注13项，5项没有太多临床参考意义是看既往有没有感染过的指标。
小三阳出现表面抗体是好事吗？	是好事，最好的情况是表面抗原持续降低，出现表面抗体。
为何吃恩替后表面抗原反倒上升了？	抗病毒药物是抑制病毒的复制，相应的表面抗原应该出现下降的情况，不过不是绝对的，HBV-DNA是应该肯定下降的指标。
替诺导致血磷偏低怎么办？	观察一段时间，持续降低可以去医院以便医生及时调整用药治疗方案。
额头、前胸有粉刺，在抗病毒，是乙肝的表现吗？	没有太大关系，是内分泌激素问题。
替诺服用前是否空腹，听说高蛋白饮食有助于吸收？	高脂肪餐有助于替诺的吸收，因为它是脂溶性可以提高药物的生物利用度，提高血药浓度。
是不是乙肝患者都容易疲劳？	乙肝患者会出现疲劳和食欲不振等情况，持续观察持续不适及时就医。
恩替有耐药情况吗？	恩替目前基本不会出现耐药情况。
肝血管瘤会引起甲胎蛋白增加吗？	一般不会出现这种情况，肝炎活动期和恶性肿瘤会引起甲胎蛋白上升。
核磁共振和CT结果哪个更加可信？	核磁会更佳准确。
干咳和乙肝有关吗？	一般没有关系。
睡觉流口水和乙肝有关系吗？	没有关系，与牙齿咬合和睡觉姿势相关。
脂肪肝会引起肝区不适吗？	一般不会，脂肪肝可以通过b超检查出来。
指甲颜色与乙肝相关吗？	没有太大关系。
大三阳肝功能正常，甲胎蛋白需要查吗？	需要检查，甲胎蛋白是乙肝常规检查项目。
肝病患者饮食安排？	清淡饮食，少油腻。
孩子查体乙肝表面抗体弱阳性是没有抗体吗?	有抗体，可以做个定量，太低不放心可以加强一次，不过一般产生了抗体就有保护作用，即使是弱阳性。
脂肪肝日常护理？	多运动减肥，清淡饮食。
做凉拌菜放的米醋含有酒精，乙肝病人可以吃吗？	可以。
肝硬化代偿期什么意思，很严重吗？	代偿期是指只有组织学上出现了肝硬化的情况，肝功能正常或轻微异常。但是只要是肝硬化就要非常重视起来了
复查都需要做哪些检查？	b超，肝功能，甲胎蛋白，HBV-DNA，乙肝五项。
直接开始抗病毒，会有什么不好的结果？	不需要服药的时候抗病毒是过度治疗，花钱且没有必要。
是因为肝功不正常，才导致的纤维化吗？	是由于病毒在肝脏内持续复制和免疫病理损伤导致肝脏出现纤维化，长期以往出现肝硬化。
服药恩替头疼怎么处理，可以吃止痛药吗？	可以吃止疼药缓解头痛，观察持续头疼需要去医院。
如果肝硬化，做检查知道程度的目的是什么呢？不同阶段会有对应治疗方案么？	是这样的，医生会根据指标调整治疗方案。主要也是为了监控指标，争取保持现状不让病情继续发展。
肝硬化代偿期，抽烟影响严重吗？	抽烟对身体百害而无一利，建议您尽快戒烟。
请问肝硬化病人什么情况下需要做胃镜？	看是否出现门静脉高压的情况，出现的话需要做胃镜。
乙肝病人可以吃辛辣食品吗？	可以，适量即可。
乙肝病人可以吃海鲜吗？	可以，适量即可。
没有抗体的人可以跟大三阳病人一起吃饭吗？	可以，乙肝不是消化道传染病，但是可以打疫苗预防一下其他途径的传染，。
我没有治疗，大三阳怎么变成小三阳了？	这是可能出现的正常现象，人体自身的免疫力对乙肝病人的病情影响很大。
自身免疫性肝硬化会传染吗？	不是传染病，不会传染。
我之前吃贝双定，想换润众，可以吗？	因为不同厂家还是有一定药效区别的 你需要咨询一下医生再换
我大三阳，在恩替抗病毒，我老婆有抗体，想要孩子需要做什么准备吗？	不需要，备孕男性患者没有太多的注意事项，孕妇乙肝需要阻断和换药
因为脾大很多保险都被延期了，说脾正常了再投保，这脾能正常吗？	因人而异，不是所有人都能恢复正常大小，但是脾大对健康影响不大
病毒dna量和乙肝五项的抗原指标有联系么	治疗期间主要是关注HBV-DNA和肝功能。乙肝五项的指标可能来判断传染性、是否治愈、是否产生抗体
没抗病毒是不是就没必要检测乙肝五项定量？	不是的，可以看一下e抗原和s抗原情况
肝硬化因脾亢05年切脾，后拉米至今，去年以来，有时检查DNA162或51，有时小于10，前天检查小于10，其他肝功能和血小板白细胞AFP正常，请问继续服拉米吗？右脚膝盖最近有点痛，是不是拉米引起。	膝盖的疼痛应该不是拉米但是由于拉米易出现耐药，您可以咨询一下大夫看能不能换药
抗病毒药一般要吃多久？	一般3-6个月会见效，吃到DNA阴性后还需要巩固1-3年不等。
乙肝两对半1235项阳是什么啊？	出现抗体是好事情，但不排除误差，因为表面抗原还是挺高的，可能是一过性的结果，等下次看看结果
我是孕期肝功能突然异常，吃的替诺，产后停药失败，医生让换的恩替？	可以继续吃替诺
恩替可以更换不同的牌子吃吗？	存在一定的药效区别，不要自行换药，建议咨询医生。
肝功能有点问题，是和脂肪肝有关系吗？	有关系的，您可以试试清淡饮食
开始抗病毒后，多久检查一下？	3-6个月
亲！我病毒检测单说检测不到，有什么意义吗？	说明抗病毒药很有作用啊
您好，恩替卡韦抗病毒2年了，谷酰转肽酶还是200多，是病毒仍在损伤肝脏吗？	肝损伤一般由于病毒复制和免疫损伤，您病毒已经降下来了，假如没有脂肪肝我觉得可能就是因为免疫损伤
二十多年前交通事故，切除左则肾和脾切除，有影响吗？	可能会有些
请问正在抗病毒期间，可以吃中成药吗？	不需要吃
表面抗原高居不下，需要吃一些别的药物吗？	不需要，目前没有可以直接降低表面抗原的药物
我有轻度肝硬化，全身痒是什么情况？	胆红素高或导致瘙痒
右肋下/右侧协肋/肝区疼痛/不适是怎么回事？	这一区域不适可能有很多原因，包括肺、肝、胆囊、胃肠道、胰腺、神经、肌肉、皮肤等。具体原因需要关注基础疾病及疼痛的性质，如诱因、持续时间、加重或缓解方式、是否有放射部位、伴随的症状等。此外，焦虑、精神紧张等心理因素也可表现为这一区域的不适感。因此不需要太过紧张，如果出现不适感后化验、影像学结果基本正常，则不需过分担心是否出现肝脏的问题。
最近总是厌油腻，是乙肝加重了么？	厌油腻是消化系统的症状，可能与胆汁分泌、胆汁排泄、胃肠道功能障碍有关。比较常见厌油腻的原因包括慢性胆囊炎、胃炎、肝炎等。前两个都是非常常见的情况，与乙肝恰巧一起出现的概率也很大，因此不一定是乙肝加重的表现，可以查肝功能、腹部超声看一下。
这个是肝掌么？	肝掌是肝的代谢功能障碍，导致体内雌激素水平升高、毛细血管扩张的一种表现，最常表现为大鱼际（手掌大拇指根部及内侧面）皮肤发红，按压后苍白。
球蛋白是越低越好么？	在肝功能的生化检查中，医生往往很关注白蛋白和白/球比。这是因为白蛋白在肝脏合成，而球蛋白的合成与肝脏关系不密切，因此白蛋白减少、白/球比降低对于反映肝脏功能而言十分重要。尽管球蛋白低可以使白/球比升高，但球蛋白是免疫系统的一部分，降低可能提示免疫功能缺陷或受损，故并非球蛋白越低越好。
检查肾功能是否需要空腹（恩替卡韦的不良反应）	需要空腹
是否皮肤粘膜破损后接触乙肝病人的体液（汗液、血液、唾液、精液等）可导致传染？	首先，目前被证实确实可以传播乙肝病毒的只有血液和精液。其次，感染病毒的风险与接触者的免疫状态、体液中所含病毒量、接触次数、环境条件等因素有关。最后，在暴露于乙肝病毒之后，可以通过暴露后预防性用药减少感染风险。因此对于与乙肝患者的日常接触不必有过高心理负担。
与乙肝病人接触需要注意什么	乙肝通过性行为、血液、母婴传播，日常接触不会传染乙肝。建议性行为时做好保护措施，如果有血液等暴露可及时预防性用药阻断。
有抗体之后，（血液、性行为）接触也不会传染了么？	极大概率是不会被感染，但仍建议做好预防措施，毕竟可能传染其他的疾病。此外，也建议在高危暴露后及时用药预防。
昨天/前几天漏服了一次药，该怎么办？	通常来讲少用一次药对治疗效果影响不大，不必太过紧张。对于是否需要补一次药，根据药物在体内代谢的特征，您的用药间隔可以考虑在20-30h范围内波动。
想将某药换为另一种剂型/厂家	是可以的。我国批准上市的同种药物不同厂家/剂型是经过实验验证效果相同的，因此只要保证用药剂量一样，是可以相互替换的。
我现在在用TDF，想换成TAF可以么？	在经济条件可承受范围内可以换。但目前的临床研究结果不能说明TAF疗效优于TDF，只是说TAF效果不亚于TDF。如果您出现了较为明确的TDF不良反应，且经济能力可以承受，可以换TAF。
DNA阴性、转氨酶争创，多长时间复查一次？每次查什么？	这种情况是比较好的，可以适当放宽复查的时间，1年复查一次即可，每次复查项目应当包括：肝功、HBV DNA、肝胆脾超声、肝脏弹性测定、甲胎蛋白。
携带者和乙肝患者是什么关系？	乙肝患者通常是指慢性乙型病毒性肝炎患者，而携带者一般是指乙肝患者中转氨酶正常者。
一直吃着恩替卡韦，怀孕6周才发现，这个孩子可以留下来么？	可以留下来。药物引起胚胎发育异常相对是小概率事件；此外，未来孩子存在大大小小的异常也并不应与孕期用药有关。
表面抗体滴度小于多少需要补打疫苗？	一般人群是＜10可以考虑，对于高危人群（比如经常接触乙肝患者的人群）可以高一点。但通常来说，有过抗体阳性表明机体对病毒有记忆了，不打也可以
打疫苗之后，抗体多久会被代谢掉？是否需要定期复查？	抗体代谢只是一方面，另一方面是打疫苗之后机体会产生对疫苗的记忆，因此通常不需要规律复查抗体滴度。
打疫苗后抗体阴性，该如何处理？	如果之前打过疫苗但是结果是阴性的话，第一步应该尝试完成三针的疫苗，看是不是能产生抗体。加大疫苗剂量一般是对免疫缺陷/免疫抑制的人群用的。如果三针全程打完还是没有抗体，再怎么补疫苗，产生抗体的可能性都不是很大了
为什么有的人表面抗体曾经阳性，但后来得了乙肝？	如果排除了检查结果错误的问题，真的发生了有抗体之后再次感染乙肝的情况，是非常少见的情况了，对于绝大部分成年人来说都不会出现。中招了的话，对成年人本身来讲，急性乙型病毒性肝炎慢性化的比例比较低，远期的危害不一定真的有那么大。至于为什么会出现这种情况，我查到的资料可能总结的原因并不太全面。可能这个人本身的免疫状态是受损或者被抑制的，这个时候既往感染过没有被完全清除的乙肝病毒可以再次被激活，或者感染新的乙肝病毒。
为什么我的表面抗原和表面抗体都是阳性的？	同一血清型的表面抗原和表面抗体是不会时存在的，但不同血清型的乙肝病毒感染可以导致乙肝表面抗原和表面抗体同时阳性。
